Bin No,Bin Type,Street,Ward-DED,LEA,DCC Area,NG Eastings,NG Northings,ITM Eastings,ITM Northings,Date surveyed,Advert Space,Used Advert space,Cig Butt container,Location: Footpath,Location: Residential,Location: Retail/Shop,Location:School,Location: Public Building,Location: Park,Location: Other,Damaged,Accessible,Depot,BIDS area,Fingal Co Co,South Dublin Co Co,DLR Co Co,Other,CBD Area
2075015,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315546,234564,715472,734590,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075016,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315557,234567,715483,734593,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075017,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315565,234578,715491,734604,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075018,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315579,234582,715505,734608,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075019,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315580,234573,715506,734599,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075020,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315599,234579,715525,734605,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075021,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315597,234587,715523,734613,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075022,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315612,234583,715538,734609,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075023,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315645,234602,715571,734628,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075024,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315648,234593,715574,734619,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
