STREET,DISTRICT,WARD,FROM,TO,,,,
SHAW LANE,MEANWOOD,WEETWOOD,GROVE LANE,OTLEY ROAD,,,,
SHAW LANE,MEANWOOD,WEETWOOD,OTLEY ROAD,MONKBRIDGE ROAD,,,,
SHEEPSCAR STREET NORTH,CHAPELTOWN,CHAPEL ALLERTON,NORTH STREET,BUSLINGTHORPE LANE,,,,
SHEEPSCAR STREET SOUTH,SHEEPSCAR,CITY AND HUNSLET,REGENT STREET,CHAPELTOWN ROAD,,,,
SHERBURN ROAD,WHINMOOR,CROSS GATES AND WHINMOOR,STANKS PartIVE,WEST OF SLEDMERE CROFT,,,,
SHERBURN ROAD NORTH,WHINMOOR,CROSS GATES AND WHINMOOR,WHITE LAITHE ROAD,BAILDON PartIVE ROUNDABOUT,,,,
SICKLINGHALL ROAD,WETHERBY,HAREWOOD,JUNCTION WITH SHAW BARN LANE LINTON ROAD AND LINTON LANE,MAIN STREET,,,,
SILK MILL DRIVE,COOKRIDGE,WEETWOOD,WOODNOOK PartIVE,WOODNOOK PartIVE,,,,
SILK MILL ROAD,COOKRIDGE,WEETWOOD,WOODNOOK DRIVE,SILK MILL DRIVE,,,,
SILK MILL WAY,COOKRIDGE,WEETWOOD,SILK MILL PartIVE,NESON PartIVE,,,,
SILVER LANE,YEADON,OTLEY AND YEADON,HIGH STREET,HAWTHORNE AVENUE,,,,
SILVER ROYD HILL,UPPER WORTLEY,FARNLEY AND WORTLEY,STONEBRIDGE LANE,BLUE HILL LANE,,,,
SIR GEORGE MARTIN DRIVE,ADEL,ADEL AND WHARFEDALE,LONG CAUSEWAY JUNCTION AT NORTHERN END,JUNCTION WITH LONG CAUSEWAY AT SOUTHERN END,,,,
SISSONS ROAD,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK ROAD (OMITTING SISSONS TERRACE TO SISSONS TERRACE,MIDDLETON PARK AVENUE,,,,
SISSONS TERRACE,MIDDLETON,MIDDLETON PARK,BODMIN CRESCENT,SISSONS ROAD,,,,
SKELTON TERRACE,OSMONDTHORPE,BURMANTOFTS AND RICHMOND HILL,IVY AVENUE,INGS ROAD,,,,
SKELTONS LANE,WHINMOOR,CROSS GATES AND WHINMOOR,THORNER LANE,COAL ROAD,,,,
SKINNER LANE,SHEEPSCAR,CITY AND HUNSLET,NORTH STREET,JUNCTION MABGATE GREEN ROW & CHERRY ROW,,,,
SMEATON APPROACH,MANSTON,CROSS GATES AND WHINMOOR,LEEDS ROAD,"SOUTH-EAST TO FORM A VAGUE ""b"" SHAPE",,,,
SMITHY LANE,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,WESTERTON ROAD,,,,
SOUTH ACCOMMODATION ROAD,HUNSLET,CITY AND HUNSLET,ATKINSON STREET,HUNSLET ROAD,,,,
SOUTH ACCOMMODATION ROAD,HUNSLET,CITY AND HUNSLET,ATKINSON STREET,EAST STREET,,,,
SOUTH FARM ROAD,HAREHILLS,GIPTON AND HAREHILLS,GIPTON APPROACH,COLDCOTES CIRCUS,,,,
SOUTH PARADE,CENTRAL,CITY AND HUNSLET,EAST PARADE,PARK ROW,,,,
SOUTH PARKWAY,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY MILL PartIVE,YORK ROAD,,,,
SOUTH PARKWAY APPROACH,SEACROFT,GIPTON AND HAREHILLS,FOUNDRY LANE,ROUNDABOUT,,,,
SOUTH QUEEN STREET,MORLEY,MORLEY SOUTH,FOUNTAIN  STREET,HIGH STREET,,,,
SOUTH RIDGE,KIPPAX,KIPPAX AND METHLEY,THE DRIVE,THE GREEN,,,,
SOUTHWOOD GATE,SEACROFT,CROSS GATES AND WHINMOOR,BARWICK ROAD,SWARCLIFFE PartIVE,,,,
SOVEREIGN STREET,CENTRAL,CITY AND HUNSLET,SWINEGATE,NEVILLE STREET,,,,
SPEN LANE,LEEDS,KIRKSTALL,MORRIS LANE,BUTCHER HILL,,,,
SPEN LANE,LEEDS,KIRKSTALL,BUTCHER HILL,OTLEY OLD ROAD,,,,
SPEN ROAD,WEST PARK,WEETWOOD,OTLEY ROAD,SPEN LANE,,,,
SPENCE LANE,NEW FARNLEY,BEESTON AND HOLBECK,JUNCTION WITH WORTLEY LANE HOLBECK LANE AND DOMESTIC STREET,NORTH-WEST TO END,,,,
SPENCER PLACE,CHAPELTOWN,CHAPEL ALLERTON,ROUNDHAY ROAD,JUNCTION WITH HAREHILLS AVENUE AND AVENUE HILL,,,,
SPOFFORTH HILL,WETHERBY,WETHERBY,JUNCTION WITH LINTON ROAD AND WESTGATE,NORTH-WEST TO END,,,,
SPRING AVENUE,GILDERSOME,MORLEY NORTH,CHURCH STREET,SPRING BANK ROAD,,,,
SPRING VALLEY AVENUE,BRAMLEY,ARMLEY,SPRING VALLEY CRESCENT,SPRING VALLEY CROFT,,,,
SPRING VALLEY CRESCENT,BRAMLEY,ARMLEY,SPRING VALLEY ESTATE ROAD,SPRING VALLEY AVENUE,,,,
SPRING VALLEY DRIVE,BRAMLEY,ARMLEY,SPRING VALLEY CRESCENT,SPRING VALLEY CROFT,,,,
SPRINGBANK CLOSE,FARSLEY,CALVERLEY AND FARSLEY,SPRINGBANK ROAD,SPRINGBANK ROAD,,,,
SPRINGBANK ROAD,FARSLEY,CALVERLEY AND FARSLEY,BAGLEY LANE,WESLEY STREET,,,,
SPRINGHEAD ROAD,ROTHWELL,ROTHWELL,HAIGH ROAD,PARK LANE,,,,
SPRINGS LANE,WALTON,WETHERBY,YORK ROAD (B.1224),JUNCTION WALTON SCHOOL LANE,,,,
ST ANNES DRIVE,BURLEY,KIRKSTALL,ST ANNES LANE,BEECHWOOD CRESCENT,,,,
ST ANNS LANE,BURLEY,KIRKSTALL,KIRKSTALL LANE,ST ANNS DRIVE,,,,
ST CHADS ROAD,WEETWOOD,WEETWOOD,OTLEY ROAD,WEETWOOD LANE,,,,
ST CLAIR ROAD,OTLEY,OTLEY AND YEADON,CROSS GREEN,LISKER PartIVE,,,,
ST GEORGES ROAD,MIDDLETON,MIDDLETON PARK,TOWCESTER AVENUE,ROUNDABOUT,,,,
ST JAMES CRESCENT,PUDSEY,PUDSEY,WATERLOO ROAD (LOOP),WATERLOO ROAD,,,,
ST JAMES STREET,WETHERBY,WETHERBY,NORTH STREET,BARLEYFIELDS WALK,,,,
ST MARGARETS AVENUE,HORSFORTH,HORSFORTH,ST MARGARETS ROAD,LEE LANE EAST,,,,
ST MARGARETS ROAD,HORSFORTH,HORSFORTH,WESTBROOK LANE,LONG ROW,,,,
ST MARKS ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,BLENHEIM WALK,RAGLAN ROAD,,,,
ST MARKS STREET,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,ST MARKS ROAD,,,,
ST MATTHEWS STREET,HOLBECK,BEESTON AND HOLBECK,DOMESTIC STREET,STOCKS HILL,,,,
ST PETERS STREET,CENTRAL,CITY AND HUNSLET,EASTGATE,DUKE STREET,,,,
ST PHILIPS AVENUE,MIDDLETON,MIDDLETON PARK,TOWN STREET MIDDLETON,MIDDLETON PARK CIRCUS,,,,
ST WILFRIDS AVENUE,HAREHILLS,GIPTON AND HAREHILLS,FOUNDRY DRIVE,NORTH FARM ROAD,,,,
ST WILFRIDS CIRCUS,HAREHILLS,GIPTON AND HAREHILLS,ST WILFREDS PartIVE,ST WILFRIDS PartIVE,,,,
ST WILFRIDS CRESCENT,HAREHILLS,GIPTON AND HAREHILLS,ST WILFRIDS PartIVE,FULL CIRCLE OF CRESCENT,,,,
ST WILFRIDS DRIVE,HAREHILLS,GIPTON AND HAREHILLS,ST WILFRIDS GROVE,ST WILFRIDS CIRCUS,,,,
ST WILFRIDS GROVE,HAREHILLS,GIPTON AND HAREHILLS,ST WILFRIDS DRIVE,ST WILFRIDS CRESCENT,,,,
STAINBECK AVENUE,MEANWOOD,MOORTOWN,STONEGATE ROAD,STAINBECK ROAD,,,,
STAINBECK LANE,CHAPEL ALLERTON,MOORTOWN,SCOTT HALL ROAD,STONEGATE ROAD,,,,
STAINBECK LANE,CHAPEL ALLERTON,MOORTOWN,HARROGATE ROAD,SCOTT HALL ROAD,,,,
STAINBECK ROAD,MEANWOOD,MOORTOWN,SCOTT HALL ROAD,HARROGATE ROAD,,,,
STAINBECK ROAD,MEANWOOD,MOORTOWN,SCOTT HALL ROAD,MEANWOOD ROAD,,,,
STAINTON LANE,CARLTON,ROTHWELL,CARLTON LANE,MAIN STREET,,,,
STANHOPE ROAD,THORPE,ARDSLEY AND ROBIN HOOD,GASCOIGNE ROAD / STATION LANE,FALL LANE,,,,
STANKS DRIVE,SEACROFT,CROSS GATES AND WHINMOOR,STANKS LANE NORTH,STANKS LANE SOUTH,,,,
STANKS GARDENS,SEACROFT,CROSS GATES AND WHINMOOR,SWARCLIFFE AVENUE,STANKS PartIVE,,,,
STANKS LANE NORTH,SEACROFT,CROSS GATES AND WHINMOOR,YORK ROAD (SERVICE ROAD),SWARCLIFFE AVENUE,,,,
STANKS LANE SOUTH,SEACROFT,CROSS GATES AND WHINMOOR,EASTWOOD LANE,BARWICK ROAD,,,,
STANLEY ROAD,HAREHILLS,GIPTON AND HAREHILLS,JUNCTION BECKETT STREET & STANLEY ROAD,COMPTON ROAD,,,,
STANNINGLEY BY-PASS,STANNINGLEY,PUDSEY,BRADFORD ROAD,STANNINGLEY ROAD,,,,
STANNINGLEY ROAD,LEEDS,ARMLEY,SWINNOW ROAD,HALF MILE LANE,,,,
STANNINGLEY ROAD,LEEDS,ARMLEY,ARMLEY ROAD,SWINNOW ROAD,,,,
STATION FIELDS,GARFORTH,GARFORTH AND SWILLINGTON,CHURCH LANE,STATION ROAD,,,,
STATION LANE,THORPE,ARDSLEY AND ROBIN HOOD,COMMON LANE,JUNCTION WITH STANHOPE ROAD AND GASCOIGNE ROAD,,,,
STATION LANE,WOODLESFORD,ROTHWELL,ABERFORD ROAD (A.642),CHURCH STREET,,,,
STATION ROAD,MORLEY,MORLEY NORTH,QUEENS STREET,VALLEY ROAD,,,,
STATION ROAD,KIPPAX,KIPPAX AND METHLEY,BRIGSHAW LANE,JUNCTION WITH BERRY LANE AND GLENCOE GARDENS,,,,
STATION ROAD,HORSFORTH,HORSFORTH,ROUNDABOUT,HORSFORTH BRIDGE LAYBY & FOOTWAY,,,,
STATION ROAD,SCHOLES,HAREWOOD,MAIN STREET,YORK ROAD (A64),,,,
STATION ROAD,DRIGHLINGTON,MORLEY NORTH,BIRSTALL LANE,WHITEHALL ROAD,,,,
STATION ROAD,ALLERTON BYWATER,KIPPAX AND METHLEY,LEEDS ROAD,BARNSDALE ROAD,,,,
STATION ROAD,GARFORTH,GARFORTH AND SWILLINGTON,STATION FIELDS,ABERFORD ROAD,,,,
STATION ROAD,CROSSGATES,KILLINGBECK AND SEACROFT,AUSTHORPE ROAD,CENTRE OF ROUNDABOUT JUNCTION RING ROAD HALTON GREEN LANE,,,,
STATION STREET,PUDSEY,PUDSEY,VICTORIA ROAD,VICTORIA ROAD,,,,
STILE HILL WAY,COLTON,TEMPLE NEWSAM,SELBY ROAD,BULLERTHORPE LANE,,,,
STOCKS APPROACH,SEACROFT,KILLINGBECK AND SEACROFT,YORK ROAD,WEST SIDE OF PROPERTY RING ROAD,,,,
STOCKS HILL,ARMLEY,ARMLEY,MISTRESS LANE,TOWN STREET ARMLEY,,,,
STOCKS HILL,HOLBECK,BEESTON AND HOLBECK,ST MATTHEWS STREET,BRIDGE ROAD,,,,
STONE PITS LANE,MORLEY,MORLEY NORTH,NEPSHAW LANE,NORTHERLY INCLUDING TURNING HEAD PLUS JOINING WITH THISTLE WAY,,,,
STONEBRIDGE LANE,FARNLEY,FARNLEY AND WORTLEY,SILVER ROYD HILL,CROSS LANE,,,,
STONEGATE ROAD,MEANWOOD,MOORTOWN,GREEN ROAD / MEANWOOD ROAD,HARROGATE ROAD,,,,
STONEY ROCK LANE,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,NIPPET LANE/TORRE ROAD,STANLEY ROAD,,,,
STREET 5,THORP ARCH,WETHERBY,WIGHILL LANE,JUNCTION WITH AVENUE E WEST AND AVENUE E EAST,,,,
STREET LANE,MOORTOWN,MOORTOWN,STONEGATE ROAD,PRINCES AVENUE AT JUNCTION WITH MANSION LANE,,,,
STREET LANE,GILDERSOME,MORLEY NORTH,GELDERD ROAD,CHURCH STREET,,,,
STRICKLAND AVENUE,SHADWELL,HAREWOOD,MAIN STREET SHADWELL,ASH HILL LANE,,,,
STURTON LANE,GARFORTH,GARFORTH AND SWILLINGTON,ABERFORD ROAD A.642,FIRTHFIELDS,,,,
STYEBANK LANE,ROTHWELL,ROTHWELL,PARK LANE,LEEDS / BARNSDALE ROAD A.639,,,,
SUNNYBANK AVENUE,HORSFORTH,HORSFORTH,NEW ROAD SIDE,FEATHERBANK LANE,,,,
SUNNYVIEW GARDENS,BEESTON,BEESTON AND HOLBECK,WESLEY STREET,BEESTON ROAD,,,,
SUNSET AVENUE,MEANWOOD,MOORTOWN,SUNSET ROAD,HOLMWOOD AVENUE,,,,
SUNSET ROAD,MEANWOOD,MOORTOWN,GREEN ROAD MEANWOOD,NORTH 375YDS,,,,
SUSSEX AVENUE,HUNSLET,CITY AND HUNSLET,THWAITE GATE,JUNCTION WITH MIDLAND ROAD AND PEPPER ROAD,,,,
SUTHERLAND ROAD,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,COMPTON ROAD,LUPTON AVENUE,,,,
SWARCLIFFE AVENUE,SEACROFT,CROSS GATES AND WHINMOOR,STANKS PartIVE,SWARCLIFFE PartIVE,,,,
SWARCLIFFE DRIVE,SEACROFT,CROSS GATES AND WHINMOOR,STANKS LANE NORTH,EASTWOOD LANE,,,,
SWEET STREET,HOLBECK,CITY AND HUNSLET,WEST MEADOW ROAD,MARSHALL STREET,,,,
SWILLINGTON LANE,SWILLINGTON,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD (A642),SELBY ROAD (A63T),,,,
SWINCAR AVENUE,YEADON,GUISELEY AND RAWDON,QUEENSWAY,JUNCTION WITH NEWLANDS AVENUE AND WALKERS ROW,,,,
SWINEGATE,CENTRAL,CITY AND HUNSLET,CALL LANE,SOVEREIGN STREET,,,,
SWINEGATE,CENTRAL,CITY AND HUNSLET,BRIGGATE,MILL HILL,,,,
SWINNOW LANE,SWINNOW,PUDSEY,LEEDS BRADFORD ROAD,RING ROAD (BRAMLEY),,,,
SWINNOW LANE,SWINNOW,PUDSEY,STANNINGLEY BY PASS,OFF RAMP SLIP ROAD SWINNOW LANE,,,,
SWINNOW ROAD,SWINNOW,PUDSEY,LOWTOWN (PUDSEY),STANNINGLEY ROAD,,,,
SYKE ROAD,WEST ARDSLEY,MORLEY SOUTH,DEWSBURY ROAD,WESTERTON ROAD,,,,
TALBOT AVENUE,MOORTOWN,ROUNDHAY,TALBOT ROAD,JUNCTION WITH MOOR ALLERTON AVENUE AND BENTCLIFFE AVENUE,,,,
TALBOT ROAD,MOORTOWN,ROUNDHAY,STREET LANE,LIDGETT PARK ROAD,,,,
TARN LANE,WIKE,HAREWOOD,JUNCTION WITH BLACKMOOR LANE SYKE LANE AND BAY HORSE LANE,WIKE RIDGE LANE,,,,
TEMPEST ROAD,BEESTON,CITY AND HUNSLET,BEESTON ROAD,DEWSBURY ROAD,,,,
TEMPLE GATE,HALTON,TEMPLE NEWSAM,SELBY ROAD,TEMPLEGATE GREEN,,,,
TEMPLEGATE AVENUE,HALTON,TEMPLE NEWSAM,NEW TEMPLE GATE,TEMPLE GATE,,,,
TEMPLEGATE GREEN,HALTON,TEMPLE NEWSAM,NORTH OF TEMPLEGATE AVENUE,SOUTH OF TEMPLEGATE WALK,,,,
TEMPLENEWSAM ROAD,HALTON,TEMPLE NEWSAM,THE ELM WALK,SELBY ROAD,,,,
TENTER HILL,BRAMHAM,WETHERBY,THORNER ROAD,FRONT STREET,,,,
THE AVENUE,RICHMOND HILL,BURMANTOFTS AND RICHMOND HILL,FLAX PLACE,THE PARADE,,,,
THE AVENUE,HAREWOOD,HAREWOOD,HARROGATE ROAD,HAREWOOD AVENUE,,,,
THE AVENUE,ALWOODLEY,ALWOODLEY,ALWOODLEY LANE,KING LANE,,,,
THE AVENUE,ROUNDHAY,ROUNDHAY,THE PartIVE,LIDGETT PARK AVENUE,,,,
THE CALLS,CENTRAL,CITY AND HUNSLET,CALL LANE,HIGH COURT,,,,
THE CRESCENT,OTLEY,OTLEY AND YEADON,NEWALL CARR ROAD,NEWALL CARR ROAD,,,,
THE CROSS,BARWICK,HAREWOOD,POTTERTON LANE,ABERFORD ROAD,,,,
THE CROSSWAYS,OTLEY,OTLEY AND YEADON,THE CRESCENT,CHIPPENDALE RISE,,,,
THE DRIVE,KIPPAX,KIPPAX AND METHLEY,WESTFIELD LANE,STATION ROAD,,,,
THE DRIVE,ROUNDHAY,ROUNDHAY,THE AVENUE,OLD PARK ROAD,,,,
THE GREEN,GUISELEY,GUISELEY AND RAWDON,LEEDS ROAD / OTLEY ROAD,WELL LANE / CHURCH STREET,,,,
THE GREEN,HORSFORTH,HORSFORTH,CHURCH ROAD,TOWN STREET,,,,
THE GREEN,KIPPAX,KIPPAX AND METHLEY,SOUTH RIDGE,THE DRIVE,,,,
THE HEADROW,CENTRAL,CITY AND HUNSLET,VICAR LANE,OXFORD PLACE,,,,
THE OVAL,HUNSLET,CITY AND HUNSLET,HILLIDGE ROAD,CHURCH STREET,,,,
THE VILLAGE,THORP ARCH,WETHERBY,JUNCTION WITH BRIDGE FOOT AND THORP ARCH PARK,JUNCTION WITH WOOD LANE AND THORP ARCH PARK,,,,
THEODORE STREET,BEESTON,BEESTON AND HOLBECK,BARKLY ROAD,BACK CROSS FLATTS AVENUE,,,,
THIRD AVENUE,WETHERBY,WETHERBY,HALLFIELD LANE,BURREL CLOSE (INC. CUL-DE-SAC BETWEEN NOS 31 & 43),,,,
THIRSK ROW,CENTRAL,CITY AND HUNSLET,WELLINGTON STREET,JUNCTION WITH AIRE STREET WHITEHALL ROAD AND WHITEHALL QUAY,,,,
THISTLE WAY,MORLEY,MORLEY NORTH,GILDERSOME SPUR,STONE PIT LANE,,,,
THORN LANE,GLEDHOW,ROUNDHAY,JUNCTION WITH GLEDHOW WOOD ROAD AND FITZROY PartIVE,LIDGETT WALK,,,,
THORN MOUNT,HAREHILLS,GIPTON AND HAREHILLS,AMBERTON ROAD,THORN WALK,,,,
THORN WALK,HAREHILLS,GIPTON AND HAREHILLS,NORTH FARM ROAD,THORN MOUNT,,,,
THORNER LANE,THORNER,HAREWOOD,YORK ROAD A64 (T),SANDHILLS,,,,
THORNER LANE,BRAMHAM,HAREWOOD,Thorner Road,Holme Farm Lane,,,,
THORNER LANE,SCARCROFT,HAREWOOD,MILNER LANE,WETHERBY ROAD,,,,
THORNER ROAD,BRAMHAM,HAREWOOD,FRONT STREET / TENTER HILL,BRAMHAM ROAD,,,,
THORNHILL STREET,CALVERLEY,CALVERLEY AND FARSLEY,VICTORIA STREET,WOODHALL ROAD,,,,
THORNVILLE ROAD,HEADINGLEY,HEADINGLEY,BRUDENELL ROAD,ALEXANPartA ROAD,,,,
THORPE LANE,GUISELEY,GUISELEY AND RAWDON,WHITE CROSS,HAWKSWORTH LANE,,,,
THORPE LANE,TINGLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,CITY BOUNDARY,,,,
THORPE LANE,THORPE,MIDDLETON PARK,MIDDLETON LANE,TOWCESTER AVENUE,,,,
THORPE LOWER LANE,ROBIN HOOD,ARDSLEY AND ROBIN HOOD,JUNCTION WITH MIDDLETON LANE AND LINGWELL GATE LANE,JUNCTION WITH LEEDS ROAD AND LEADWELL LANE,,,,
THORPE ROAD,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,MAIN STREET,,,,
THORPE ROAD,PUDSEY,CALVERLEY AND FARSLEY,RICHARDSHAW LANE,WESTDALE PartIVE,,,,
THORPE ROAD,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK ROAD,THORPE VIEW,,,,
THORPE VIEW,MIDDLETON,MIDDLETON PARK,THROSTLE ROAD,THORPE ROAD,,,,
THROSTLE ROAD,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK AVENUE,THORPE VIEW,,,,
THROSTLE ROAD,BELLE ISLE,MIDDLETON PARK,JUNCTION (ROUNDABOUT) OF RING ROAD MIDDLETON & BELLE ISLE ROAD,SHARP LANE,,,,
THWAITE GATE,HUNSLET,CITY AND HUNSLET,LOW ROAD,WAKEFIELD ROAD,,,,
TILBURY ROAD,HOLBECK,BEESTON AND HOLBECK,JUNCTION WITH ELLAND ROAD AND TILBURY AVENUE,JUNCTION WITH INGRAM ROAD AND BACK COLENSO ROAD,,,,
TINGLEY COMMON,TINGLEY,MORLEY SOUTH,BRITANNIA ROAD (WESTBOUND),BRADFORD ROAD,,,,
TINGLEY COMMON,TINGLEY,MORLEY SOUTH,BRITANNIA ROAD,BRADFORD ROAD,,,,
TINSHILL DRIVE,COOKRIDGE,WEETWOOD,TINSHILL ROAD,OTLEY OLD ROAD,,,,
TINSHILL LANE,COOKRIDGE,WEETWOOD,JUNCTION WITH STATION ROAD AND HAIGH WOOD ROAD,OTLEY OLD ROAD,,,,
TINSHILL ROAD,COOKRIDGE,WEETWOOD,OTLEY OLD ROAD,STATION ROAD HORSFORTH,,,,
TONG ROAD,FARNLEY,FARNLEY AND WORTLEY,WELLINGTON ROAD,GAMBLE LANE,,,,
TONG ROAD,FARNLEY,FARNLEY AND WORTLEY,TROYDALE LANE,ROKER LANE,,,,
TONGUE LANE,MEANWOOD,MOORTOWN,PARKSIDE ROAD,RING ROAD,,,,
TOP MOOR SIDE,HOLBECK,BEESTON AND HOLBECK,ELLAND ROAD,SHAFTON LANE,,,,
TOPCLIFFE LANE,MORLEY,MORLEY SOUTH,TINGLEY COMMON ( A650 ),GLEN ROAD,,,,
TORRE ROAD,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,STONEY ROCK LANE,YORK ROAD,,,,
TOULSTON LANE,BRAMHAM,WETHERBY,JUNCTION OF ABERFORD ROAD AND WINDMILL ROAD,LCC BOUNDARY,,,,
TOWCESTER AVENUE,MIDDLETON,ARDSLEY AND ROBIN HOOD,THORPE LANE,ST GEORGES ROAD,,,,
TOWN END,GARFORTH,GARFORTH AND SWILLINGTON,JUNCTION WITH BARROWBY LANE AND MAIN STREET,SOUTH-EAST TO END,,,,
TOWN GATE,GUISELEY,GUISELEY AND RAWDON,THE GREEN / CHURCH STREET,TOWN STREET / LANDS LANE,,,,
TOWN GATE,CALVERLEY,CALVERLEY AND FARSLEY,JUNCTION WITH CALVERLEY LANE AND RODLEY LANE,CARR ROAD,,,,
TOWN HILL,BRAMHAM,WETHERBY,LOW WAY,HIGH STREET,,,,
TOWN STREET,STANNINGLEY,BRAMLEY AND STANNINGLEY,RICHARDSHAW LANE,HALF MILE LANE,,,,
TOWN STREET,FARSLEY,CALVERLEY AND FARSLEY,NEW STREET,BAGLEY LANE,,,,
TOWN STREET,BEESTON,BEESTON AND HOLBECK,BEESTON ROAD,MILLSHAW,,,,
TOWN STREET,BRAMLEY,BRAMLEY AND STANNINGLEY,STANNINGLEY ROAD,HOUGH LANE,,,,
TOWN STREET,BRAMLEY,BRAMLEY AND STANNINGLEY,HOUGH LANE,BROAD LANE,,,,
TOWN STREET,MIDDLETON,MIDDLETON PARK,SHARP LANE,MIDDLETON PARK ROAD,,,,
TOWN STREET,MIDDLETON,MIDDLETON PARK,BELLE ISLE ROAD,SHARP LANE,,,,
TOWN STREET,RODLEY,BRAMLEY AND STANNINGLEY,JUNCTION WITH RODLEY LANE AND COAL HILL LANE,JUNCTION WITH CANAL ROAD RODLEY LANE AND BAGLEY LANE,,,,
TOWN STREET,CARLTON,ROTHWELL,SHAYFIELD LANE,OUZLEWELL GREEN,,,,
TOWN STREET,GILDERSOME,MORLEY NORTH,CHURCH STREET,BRANCH END,,,,
TOWN STREET,HORSFORTH,HORSFORTH,THE GREEN,LONG ROW / BRADGATE LANE,,,,
TOWN STREET,YEADON,OTLEY AND YEADON,HIGH STREET (TOWN HALL SQUARE),KIRK LANE,,,,
TOWN STREET,GUISELEY,GUISELEY AND RAWDON,QUEENSWAY,MOORLAND AVENUE,,,,
TOWN STREET,RAWDON,HORSFORTH,OVER LANE,LAYTON ROAD (CHURCH GATE),,,,
TOWN STREET,ARMLEY,ARMLEY,WESLEY ROAD / BRANCH ROAD,HILL TOP ROAD,,,,
TREEFIELD INDUSTRIAL ESTATE,GILDERSOME,MORLEY NORTH,GELDERD ROAD,GELDERD ROAD,,,,
TROY ROAD,MORLEY,MORLEY SOUTH,Commercial Street,Queen Street,,,,
TROY ROAD,HORSFORTH,HORSFORTH,LOW LANE,STATION ROAD,,,,
TROYDALE LANE,FARNLEY,FARNLEY AND WORTLEY,TONG ROAD,VALLEY ROAD,,,,
TUNSTALL ROAD,BEESTON,CITY AND HUNSLET,DEWSBURY ROAD,M621 ROUNDABOUT,,,,
TURNBERRY AVENUE,MOORTOWN,ALWOODLEY,NURSERY LANE,WENTWORTH,,,,
ULLSWATER CRESCENT,HALTON,TEMPLE NEWSAM,CORONATION PARADE,KYFFIN AVENUE,,,,
UPPER ACCOMMODATION ROAD,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,Dial Street,York Road,,,,
UPPER BASINGHALL STREET,CENTRAL,CITY AND HUNSLET,BUTTS COURT,THE HEADROW,,,,
UPPER LANGWITH,COLLINGHAM,HAREWOOD,HAREWOOD ROAD,"NORTH AND NORTH-WEST TO ENDS OF ""T"" SHAPE",,,,
UPPER WORTLEY ROAD,LOWER WORTLEY,FARNLEY AND WORTLEY,OLDFIELD LANE,TONG ROAD,,,,
UPPERMOOR,PUDSEY,PUDSEY,WATERLOO ROAD,GREENSIDE / CHAPELTOWN,,,,
VALLEY MOUNT,KIPPAX,KIPPAX AND METHLEY,VALLEY ROAD,CUL-DE-SAC,,,,
VALLEY ROAD,PUDSEY,PUDSEY,LITTLEMOOR ROAD,TROYDALE LANE,,,,
VALLEY ROAD,KIPPAX,KIPPAX AND METHLEY,LEEDS ROAD,LEEDS ROAD,,,,
VESPER ROAD,KIRKSTALL,KIRKSTALL,SPEN LANE,ABBEY ROAD,,,,
VIADUCT ROAD,BURLEY,CITY AND HUNSLET,BURLEY PLACE JCT,CANAL ROAD,,,,
VICAR LANE,CENTRAL,CITY AND HUNSLET,NEW MARKET STREET,NORTH STREET,,,,
VICARAGE LANE,BRAMHAM,WETHERBY,ABERFORD ROAD,NEW ROAD,,,,
VICTORIA AVENUE,YEADON,OTLEY AND YEADON,HARROGATE ROAD,HARROGATE ROAD,,,,
VICTORIA AVENUE,HORSFORTH,HORSFORTH,VICTORIA MOUNT,SOUTH WEST BOUNDARY 1 & 10,,,,
VICTORIA CRESCENT,HORSFORTH,HORSFORTH,VICTORIA GARDENS,END,,,,
VICTORIA GARDENS,HORSFORTH,HORSFORTH,NEW ROAD SIDE,VICTORIA CRESCENT,,,,
VICTORIA MOUNT,HORSFORTH,HORSFORTH,VICTORIA CRESCENT,CALVERLEY LANE,,,,
VICTORIA ROAD,HOLBECK,CITY AND HUNSLET,MEADOW LANE,NEVILLE STREET (RIVER BRIDGE),,,,
VICTORIA ROAD,CHURWELL,MORLEY NORTH,BRUNTCLIFFE LANE,ELLAND ROAD,,,,
VICTORIA ROAD,HEADINGLEY,HEADINGLEY,LEEDS & OTLEY T.P ROAD,SOUTH,,,,
VICTORIA ROAD,GUISELEY,GUISELEY AND RAWDON,PARK ROAD,OTLEY ROAD,,,,
