STREET,DISTRICT,WARD,FROM,TO,,,,
CARDINAL AVENUE,BEESTON,BEESTON AND HOLBECK,RING ROAD CHURWELL,CARDINAL ROAD,,,,
CARDINAL ROAD,BEESTON,BEESTON AND HOLBECK,OLD LANE,CARDINAL ROAD,,,,
CARDINAL SQUARE,BEESTON,BEESTON AND HOLBECK,CARDINAL WALK,CARDINAL WALK,,,,
CARDINAL WALK,BEESTON,BEESTON AND HOLBECK,CARDINAL ROAD,CARDINAL SQUARE,,,,
CARLISLE ROAD,PUDSEY,PUDSEY,CHAPELTOWN,FARTOWN,,,,
CARLISLE ROAD,HUNSLET,CITY AND HUNSLET,CLARENCE ROAD,SAYNER LANE,,,,
CARLTON HILL,SHEEPSCAR,HYDE PARK AND WOODHOUSE,OATLAND LANE,END,,,,
CARLTON LANE,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,CEMETERY LANE,LEEDS ROAD,,,,
CARLTON LANE,ROTHWELL,ROTHWELL,LEADWELL LANE,MARSH STREET,,,,
CARLTON LANE,GUISELEY,OTLEY AND YEADON,CROSS LANE,MOOR LANE,,,,
